Operateur;x;y;2G;3G;4G
20820;-4.48;48.392;1;1;1
20801;-4.479;48.393;0;0;0
20820;-4.48;48.401;1;1;1
20801;-4.48;48.415;1;1;1
20801;-4.475;48.395;1;1;1
20801;-4.477;48.408;1;1;1
20810;-4.471;48.385;1;1;1
20810;-4.472;48.39;1;1;1
20801;-4.472;48.39;1;1;1
20820;-4.471;48.385;1;1;1
20810;-4.474;48.413;1;1;1
20810;-4.472;48.397;1;1;1
20810;-4.471;48.394;1;1;1
20820;-4.476;48.429;1;0;0
20801;-4.454;48.281;1;1;0
20815;-4.472;48.413;0;1;1
20810;-4.467;48.382;1;0;0
20815;-4.477;48.456;0;1;1
20820;-4.477;48.456;1;1;1
20801;-4.42;48.057;1;1;0
20801;-4.477;48.457;1;1;1
20810;-4.468;48.403;1;1;1
20815;-4.468;48.403;0;1;1
20801;-4.468;48.403;1;1;1
20801;-4.473;48.447;1;1;1
20801;-4.495;48.606;1;1;1
20810;-4.495;48.606;1;1;0
20820;-4.464;48.403;1;1;1
20810;-4.464;48.403;0;1;0
20820;-4.462;48.396;1;1;1
20815;-4.462;48.396;0;1;1
20810;-4.461;48.395;1;1;1
20801;-4.461;48.395;1;1;1
20820;-4.463;48.414;1;1;1
20810;-4.462;48.407;1;1;1
20801;-4.463;48.415;0;1;0
20815;-4.461;48.406;0;1;1
20810;-4.462;48.428;1;1;1
20801;-4.459;48.419;1;1;1
20810;-4.458;48.421;1;1;1
20801;-4.456;48.405;1;1;1
20820;-4.458;48.429;1;1;1
20801;-4.458;48.429;1;1;0
20815;-4.457;48.43;0;1;1
20820;-4.448;48.4;1;1;1
20801;-4.447;48.392;1;1;1
20810;-4.447;48.392;1;1;1
20815;-4.447;48.391;0;1;1
20801;-4.447;48.401;1;1;1
20810;-4.446;48.4;1;1;1
20815;-4.446;48.4;0;1;1
20801;-4.36;47.805;1;1;1
20810;-4.451;48.457;1;1;1
20801;-4.451;48.457;1;1;0
