Operateur;x;y;2G-1;3G-1;4G-1;2G-2;3G-2;4G-2
20820;-3.717774;48.525268;1;1;0;1;1;1
20820;-3.547398;48.75842;1;1;0;1;1;1
20820;-3.520174;48.772656;1;1;0;1;1;1
20820;-3.461953;48.734441;1;1;0;1;1;1
20820;-3.309732;48.81527;1;1;0;1;1;1
20801;-3.074638;47.573183;0;0;0;0;1;0
20820;-2.562523;47.964412;1;1;1;1;1;0
20820;-2.35807;46.720825;1;1;0;1;1;1
20820;-2.390963;47.916705;1;1;1;1;1;0
20820;-2.159167;46.907776;1;1;0;1;1;1
20801;-2.070676;47.67057;1;1;0;1;0;0
20820;-1.91499;46.693832;1;0;0;0;1;0
20801;-1.850998;46.636377;1;1;1;1;0;0
20820;-1.476729;43.492634;1;0;0;1;1;1
20801;-1.469473;43.494358;1;1;1;0;1;0
20801;-1.442717;43.650415;1;1;1;0;1;0
20801;-1.440489;43.666502;1;1;1;0;1;0
20801;-1.426656;43.692968;1;1;1;0;0;0
20801;-1.426656;43.692968;1;1;1;0;1;0
20801;-1.426656;43.692968;0;0;0;0;1;0
20801;-1.416552;43.661016;1;1;1;1;0;0
20801;-1.384984;43.764124;1;1;0;1;0;0
20801;-1.384984;43.764124;1;1;0;0;1;0
20801;-1.384984;43.764124;1;0;0;0;1;0
20801;-1.375427;43.690915;1;1;0;0;1;0
20801;-1.310264;43.756745;1;1;0;0;1;0
20801;-1.662304;48.112501;0;0;0;1;1;1
20801;-1.539761;47.202828;1;1;1;1;0;0
20801;-1.172701;44.382016;0;1;0;1;0;0
20801;-1.164026;44.647215;1;1;1;1;0;0
20801;-1.131217;44.460608;1;1;1;0;0;0
20801;-1.053079;43.702228;1;1;1;0;1;0
20801;-1.050767;43.710108;1;1;1;0;1;0
20801;-1.050767;43.710108;1;1;1;0;1;0
20801;-1.118077;45.512645;1;1;1;1;0;0
20820;-1.224716;48.593791;1;1;0;1;1;1
20801;-0.61307;43.193597;1;1;0;1;1;1
20801;-0.697922;44.833919;1;1;1;0;1;0
20801;-0.666064;44.855445;1;1;1;0;1;0
20801;-0.655809;44.775425;1;1;1;0;1;0
20801;-0.64764;44.831466;1;1;1;0;1;0
20801;-0.619829;44.796533;1;1;1;0;1;0
20801;-0.604309;44.827682;1;1;1;0;1;0
20801;-0.603114;44.821493;0;1;1;0;1;0
20801;-0.595277;44.796603;1;1;1;0;1;0
20801;-0.653337;45.731451;1;1;1;0;1;0
20801;-0.591684;44.805533;1;1;1;0;1;0
20801;-0.590228;44.852482;1;1;1;0;1;0
20801;-0.588193;44.838677;1;1;1;0;1;0
20801;-0.585345;44.83594;1;1;1;0;1;0
20801;-0.583181;44.84093;1;1;1;0;1;0
20801;-0.580359;44.869177;1;1;1;0;1;0
20801;-0.636753;45.746835;1;1;1;0;0;0
20801;-0.577437;44.840043;1;1;1;0;1;0
20801;-0.574819;44.841308;1;1;1;0;1;0
20801;-0.573909;44.829991;1;1;1;0;1;0
20801;-0.573848;44.843566;1;1;1;0;1;0
20820;-0.563837;44.776268;1;0;0;1;1;0
20801;-0.568817;44.874425;1;1;1;0;1;0
20801;-0.559402;44.829908;1;1;1;0;1;0
20801;-0.558634;44.838972;1;1;1;0;1;0
20801;-0.561612;44.897305;0;0;0;0;0;1
20801;-0.561612;44.897305;0;0;0;0;0;1
20801;-0.561612;44.897305;0;0;0;0;0;1
20801;-0.561612;44.897305;0;0;1;0;0;0
20801;-0.561612;44.897305;0;0;1;0;0;0
20801;-0.561612;44.897305;0;0;1;0;0;0
20801;-0.70768;47.629684;0;0;1;0;1;0
20801;-0.523148;44.879444;1;1;1;0;1;0
20820;-0.754492;49.34435;1;1;0;1;1;1
20820;-0.42478;45.010575;1;0;0;1;1;0
20801;-0.423893;45.00834;1;1;1;0;1;1
20801;-0.457668;46.324532;1;1;1;1;0;0
20820;-0.382796;46.341354;1;0;0;1;1;1
20820;-0.328188;45.696126;1;0;0;1;1;0
20801;-0.255229;44.911603;1;1;0;0;1;0
20820;-0.230872;45.324178;1;1;0;1;1;1
20820;-0.205812;45.222859;1;1;0;1;1;1
20820;-0.14165;44.88813;1;1;0;1;1;1
20801;-0.392697;49.180521;1;1;1;0;0;0
20820;0.07875;43.231984;1;0;0;1;1;1
20820;0.09704;44.393255;1;1;0;1;1;1
20820;0.07448;45.683912;1;1;1;1;1;0
20820;0.156945;44.506668;1;1;0;1;1;1
20820;0.133698;45.563006;1;1;1;1;1;0
20820;0.222692;44.363287;1;1;1;1;1;0
20801;0.332982;42.81788;1;1;1;0;0;0
20820;0.193681;45.890648;1;1;1;1;1;0
20820;0.307232;44.188673;1;1;0;1;1;1
20801;0.2051;46.432676;1;1;0;0;1;1
20801;0.254126;46.546085;1;1;0;0;1;1
20820;0.35267;44.604316;1;1;0;1;1;1
20820;0.353721;45.242931;1;1;0;1;1;1
20801;0.311879;47.315127;1;1;0;0;1;0
20801;0.358878;46.688799;1;1;1;0;1;1
20820;0.3862;47.426575;1;1;0;1;1;1
20801;0.548786;44.875287;1;1;0;0;0;0
20820;0.448059;47.249999;1;1;0;1;1;1
20820;0.62584;43.283334;1;1;0;1;1;1
20820;0.513401;47.283565;1;1;0;1;1;1
20820;0.706514;44.407827;1;0;0;1;1;0
20820;0.712118;44.410294;1;1;0;1;1;1
20820;0.591369;47.598907;1;1;0;1;1;1
20801;0.707449;45.174675;1;1;0;0;0;0
20801;0.718884;45.193736;1;1;1;0;0;0
20820;0.76546;44.276753;1;1;0;1;1;1
20801;0.697497;48.08005;0;0;0;0;1;1
20820;0.740496;47.538477;1;1;0;1;1;1
20820;0.734215;47.912211;1;1;1;1;0;0
20820;0.777485;47.597143;1;1;0;1;1;1
20820;0.743888;48.541387;1;1;0;1;1;1
20820;0.822658;47.912084;1;1;0;1;1;1
20820;1.008183;43.505914;1;1;0;1;1;1
20820;0.974673;44.499748;1;1;0;1;1;1
20820;1.022772;45.710639;1;1;1;1;1;0
20820;1.175877;43.682069;1;1;1;1;1;0
20820;1.105908;46.073303;1;1;1;1;1;0
20801;1.04947;47.798469;0;1;1;1;0;0
20820;1.048157;47.890329;1;1;0;1;0;0
20801;1.052216;47.812505;1;1;0;1;0;0
20801;1.082549;47.805272;0;1;0;1;0;0
20820;1.242665;44.2829;1;1;0;1;0;0
20801;1.075541;49.417648;1;1;1;1;1;0
20820;1.172791;47.146221;1;0;0;1;1;1
20820;1.153495;47.858743;1;1;0;1;1;1
20801;1.333932;43.612721;1;1;1;0;1;0
20801;1.359541;43.61249;1;1;1;0;1;0
20801;1.359541;43.61249;1;1;1;0;1;0
20801;1.37366;43.64268;1;1;1;0;1;0
20801;1.374747;43.63538;1;1;1;0;1;0
20801;1.367609;44.018513;1;1;1;0;1;0
20801;1.383425;43.645355;1;1;1;0;1;0
20801;1.38925;43.57034;1;1;1;0;1;0
20801;1.399806;43.534463;1;1;1;0;1;0
20801;1.402422;43.576483;1;1;1;0;1;0
20801;1.419751;43.596292;1;1;1;0;1;0
20801;1.427988;43.666276;1;1;1;0;1;0
20801;1.434371;43.583734;0;0;0;0;0;1
20801;1.434462;43.605811;1;1;1;0;1;0
20801;1.43813;43.612091;1;1;1;0;1;0
20801;1.333161;47.263525;1;1;1;0;1;0
20801;1.443668;43.591058;1;1;1;0;1;0
20801;1.443048;43.639466;1;1;1;0;1;0
20801;1.444345;43.610389;1;1;1;0;1;0
20801;1.44459;43.605011;1;1;1;0;1;0
20801;1.445484;43.583903;1;1;1;0;1;0
20801;1.453524;43.608496;1;1;1;0;1;0
20801;1.46085;43.565799;1;1;1;0;1;0
20801;1.461904;43.581428;1;1;1;0;1;0
20801;1.466805;43.573569;1;1;1;0;1;0
20801;1.472693;43.610927;1;1;1;0;1;0
20801;1.484601;43.563847;1;1;1;0;1;0
20801;1.498026;43.549285;1;1;1;0;1;0
20801;1.513818;43.543815;1;1;1;0;1;0
20801;1.502316;44.210852;1;1;0;0;1;0
